FIRE_CODE,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,COUNTY,COUNTY_CODE,FIPS_NAME,STATE_NAME,COUNTY_NAME,STATE_CODE
,26 MILE,1997,1997-05-26,146,1500.0,Campfire,1997-05-26,146.0,1600.0,2.0,B,58.505,-134.77333333,13.0,STATE OR PRIVATE,110.0,110,Juneau,Alaska,Juneau,2
,QUARRY,1997,1997-06-26,177,1130.0,Campfire,1997-06-27,178.0,1230.0,0.4,B,35.1,-111.72,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,OWL,1997,1997-10-30,303,1500.0,Campfire,1997-10-30,303.0,1615.0,0.1,A,35.02333333,-111.42666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,HOUND,1997,1997-11-02,306,1430.0,Miscellaneous,1997-11-02,306.0,1700.0,1.5,B,35.07166667,-111.61166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,MARCO,1997,1997-11-07,311,1430.0,Miscellaneous,1997-11-07,311.0,1600.0,0.1,A,34.91666667,-111.56833333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,DONNEY,1997,1997-11-04,308,1345.0,Equipment Use,1997-11-04,308.0,1450.0,3.0,B,34.71666667,-111.40166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,ASSOCIATION,1997,1997-11-05,309,1415.0,Campfire,1997-11-05,309.0,1455.0,35.0,C,34.71666667,-111.17166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,ZIG ZAG,1997,1997-11-16,320,1420.0,Campfire,1997-11-16,320.0,1430.0,0.1,A,34.60166667,-111.17166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,POCKET,1997,1997-09-03,246,1652.0,Lightning,1997-11-15,319.0,1029.0,5.0,B,35.05833333,-111.84,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,BABES,1997,1997-09-07,250,1617.0,Lightning,1997-11-06,310.0,1429.0,120.0,D,35.07166667,-111.94166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,RIB,1997,1997-10-07,280,1625.0,Lightning,1997-10-29,302.0,1259.0,0.1,A,35.27,-111.625,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,FUSEE,1997,1997-10-16,289,915.0,Campfire,1997-10-16,289.0,940.0,0.1,A,35.27166667,-111.66,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,OCTOBER,1997,1997-10-18,291,1216.0,Smoking,1997-10-19,292.0,1500.0,3.0,B,35.33333333,-111.62166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,SUN,1997,1997-10-19,292,1317.0,Campfire,1997-10-19,292.0,1615.0,0.2,A,35.285,-111.47666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,AB,1997,1997-10-19,292,1627.0,Children,1997-11-15,319.0,1029.0,3.0,B,34.97333333,-111.75333333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,BRAN,1997,1997-11-03,307,1550.0,Campfire,1997-11-03,307.0,1800.0,0.1,A,35.255,-111.83833333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,MONDAY,1997,1997-11-03,307,824.0,Smoking,1997-11-15,319.0,1029.0,3.0,B,35.27,-111.65833333,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,TWENTY,1997,1997-11-04,308,1122.0,Miscellaneous,1997-11-15,319.0,1029.0,1.0,B,35.345,-111.57166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,RENAGADE,1997,1997-11-25,329,600.0,Arson,1997-11-25,329.0,1000.0,2.0,B,34.94833333,-111.65666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,STEAMBOAT,1997,1997-11-08,312,1213.0,Miscellaneous,1997-11-08,312.0,1400.0,0.5,B,34.88333333,-111.75166667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,ALTO,1997,1997-09-06,249,912.0,Lightning,1997-10-04,277.0,1559.0,0.1,A,35.39,-111.65666667,5.0,USFS,5.0,5,Coconino,Arizona,Coconino,4
,WET,1997,1997-09-19,262,900.0,Lightning,1997-09-20,263.0,1100.0,1.0,B,32.53833333,-111.185,5.0,USFS,9.0,9,Graham,Arizona,Graham,4
,RILEY,1997,1997-09-20,263,2000.0,Lightning,1997-09-22,265.0,1200.0,0.3,B,32.39,-110.10666667,5.0,USFS,9.0,9,Graham,Arizona,Graham,4
,HUNTER,1997,1997-09-28,271,1345.0,Campfire,1997-09-28,271.0,1700.0,2.0,B,34.345,-110.57,5.0,USFS,17.0,17,Navajo,Arizona,Navajo,4
,ARIPINE,1997,1997-10-07,280,1400.0,Lightning,1997-10-07,280.0,1600.0,0.1,A,34.405,-110.435,13.0,STATE OR PRIVATE,17.0,17,Navajo,Arizona,Navajo,4
,J,1997,1997-10-01,274,1400.0,Lightning,1997-10-15,288.0,1000.0,0.1,A,33.80666667,-109.355,5.0,USFS,1.0,1,Apache,Arizona,Apache,4
,LOS BURROS,1997,1997-09-15,258,1430.0,Lightning,1997-09-15,258.0,1700.0,0.1,A,34.15333333,-109.78,5.0,USFS,1.0,1,Apache,Arizona,Apache,4
,WILDERNESS,1997,1997-07-16,197,1228.0,Lightning,1997-07-17,198.0,1500.0,0.1,A,33.60833333,-109.45833333,5.0,USFS,11.0,11,Greenlee,Arizona,Greenlee,4
,MOONSHINE,1997,1997-11-01,305,1530.0,Lightning,1997-11-14,318.0,1659.0,85.0,C,33.615,-109.27,5.0,USFS,11.0,11,Greenlee,Arizona,Greenlee,4
,SCHOOLHOUSE,1997,1997-11-07,311,1115.0,Lightning,1997-11-14,318.0,1659.0,18.0,C,33.63,-109.08166667,5.0,USFS,11.0,11,Greenlee,Arizona,Greenlee,4
,HUNTER,1997,1997-08-11,223,1115.0,Campfire,1997-08-11,223.0,1150.0,0.1,A,32.425,-110.72666667,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,WATERLINE,1997,1997-08-28,240,1600.0,Lightning,1997-08-29,241.0,1600.0,0.1,A,32.40333333,-110.69666667,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,ROCKS,1997,1997-08-31,243,730.0,Lightning,1997-09-04,247.0,1200.0,3.0,B,32.42333333,-110.77666667,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,MELENDREZ,1997,1997-10-26,299,730.0,Campfire,1997-10-26,299.0,800.0,0.1,A,31.70166667,-110.88333333,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,DITCH,1997,1997-09-09,252,730.0,Campfire,1997-09-09,252.0,1200.0,0.1,A,32.41833333,-110.725,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,TAIL,1997,1997-10-26,299,1300.0,Campfire,1997-10-27,300.0,1300.0,0.2,A,32.41333333,-110.72666667,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,POWERLINE,1997,1997-10-13,286,2100.0,Campfire,1997-10-14,287.0,1300.0,0.5,B,32.49833333,-110.73833333,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,FAA,1997,1997-10-10,283,2000.0,Campfire,1997-10-10,283.0,2020.0,0.1,A,32.495,-110.72666667,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,CUMARO,1997,1997-07-16,197,1430.0,Lightning,1997-07-19,200.0,1800.0,105.0,D,32.05333333,-110.485,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,COPIA,1997,1997-10-16,289,1200.0,Debris Burning,1997-10-16,289.0,1900.0,1.5,B,32.30166667,-110.62666667,5.0,USFS,19.0,19,Pima,Arizona,Pima,4
,CARR CANYON 1,1997,1997-03-29,88,1430.0,Campfire,1997-03-29,88.0,1505.0,0.1,A,31.445,-110.28,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,CARR CANYON 2,1997,1997-04-04,94,814.0,Campfire,1997-04-04,94.0,850.0,0.1,A,31.455,-110.28333333,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,VISTA,1997,1997-04-25,115,830.0,Campfire,1997-04-25,115.0,905.0,0.1,A,31.42166667,-110.295,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,ABANDONED MILLER,1997,1997-05-01,121,830.0,Campfire,1997-05-01,121.0,945.0,0.1,A,31.43833333,-110.25,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,BEAR CREEK,1997,1997-05-08,128,1150.0,Campfire,1997-05-08,128.0,1230.0,0.1,A,31.37833333,-110.36666667,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,BEAR SPRING,1997,1997-05-15,135,1950.0,Lightning,1997-05-17,137.0,1630.0,0.1,A,31.40833333,-110.30333333,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,APACHE,1997,1997-05-16,136,1622.0,Lightning,1997-05-17,137.0,1930.0,1.5,B,31.82666667,-110.43666667,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,CREEK,1997,1997-05-17,137,1200.0,Campfire,1997-05-17,137.0,1230.0,0.1,A,31.37833333,-110.35666667,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,SUNNYSIDE,1997,1997-05-17,137,1530.0,Campfire,1997-05-17,137.0,1610.0,0.1,A,31.45,-110.4,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,OVERSITE,1997,1997-05-17,137,1400.0,Campfire,1997-05-17,137.0,1435.0,0.1,A,31.38833333,-110.27166667,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,LAKE,1997,1997-07-18,199,1301.0,Lightning,1997-07-18,199.0,1619.0,0.1,A,31.42666667,-110.44666667,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,BAUMKIRCHNER,1997,1997-03-22,81,1300.0,Debris Burning,1997-03-22,81.0,1600.0,0.1,A,31.40166667,-110.24666667,13.0,STATE OR PRIVATE,3.0,3,Cochise,Arizona,Cochise,4
,HOUSE,1997,1997-11-09,313,1200.0,Campfire,1997-11-09,313.0,1430.0,0.3,B,31.53166667,-110.28,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,CARR CANYON 3,1997,1997-05-19,139,900.0,Campfire,1997-05-19,139.0,950.0,0.1,A,31.53166667,-110.28,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,GRANITE,1997,1997-08-31,243,1419.0,Lightning,1997-09-01,244.0,1000.0,0.1,A,31.42166667,-110.30666667,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,FOUNDATION,1997,1997-07-24,205,1215.0,Campfire,1997-07-24,205.0,1230.0,0.1,A,31.415,-110.265,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,WILLOW,1997,1997-07-19,200,1725.0,Lightning,1997-07-19,200.0,1800.0,5.0,B,31.82666667,-110.44166667,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,FALLS,1997,1997-10-18,291,938.0,Campfire,1997-10-18,291.0,1130.0,0.1,A,31.43,-110.29833333,5.0,USFS,3.0,3,Cochise,Arizona,Cochise,4
,RED MOUNTAIN,1997,1997-03-30,89,937.0,Campfire,1997-03-30,89.0,947.0,0.1,A,31.50166667,-110.71166667,5.0,USFS,23.0,23,Santa Cruz,Arizona,Santa Cruz,4
,LOWER TANK,1997,1997-04-11,101,1310.0,Campfire,1997-04-11,101.0,1345.0,0.1,A,31.37,-110.66666667,5.0,USFS,23.0,23,Santa Cruz,Arizona,Santa Cruz,4
,CYPRESS,1997,1997-05-04,124,1300.0,Debris Burning,1997-05-04,124.0,1348.0,1.3,B,31.52,-110.485,13.0,STATE OR PRIVATE,23.0,23,Santa Cruz,Arizona,Santa Cruz,4
,RESEARCH,1997,1997-05-17,137,1530.0,Lightning,1997-05-18,138.0,1800.0,8.0,B,31.57,-110.47333333,5.0,USFS,23.0,23,Santa Cruz,Arizona,Santa Cruz,4
,RED MOUNTAIN 2,1997,1997-05-25,145,1445.0,Smoking,1997-05-25,145.0,1515.0,0.1,A,31.50166667,-110.69833333,5.0,USFS,23.0,23,Santa Cruz,Arizona,Santa Cruz,4
,RED MOUNTAIN 3,1997,1997-05-25,145,1525.0,Campfire,1997-05-25,145.0,1600.0,0.1,A,31.51666667,-110.69833333,5.0,USFS,23.0,23,Santa Cruz,Arizona,Santa Cruz,4
,WASHINGTON,1997,1997-06-19,170,1700.0,Lightning,1997-06-19,170.0,1805.0,0.1,A,31.38666667,-110.69,13.0,STATE OR PRIVATE,23.0,23,Santa Cruz,Arizona,Santa Cruz,4
,ROUNDUP,1997,1997-10-25,298,700.0,Campfire,1997-10-25,298.0,730.0,0.1,A,31.76666667,-110.74833333,5.0,USFS,23.0,23,Santa Cruz,Arizona,Santa Cruz,4
,WHIPPLE,1997,1997-10-27,300,900.0,Campfire,1997-10-27,300.0,930.0,0.1,A,31.67333333,-110.95166667,5.0,USFS,23.0,23,Santa Cruz,Arizona,Santa Cruz,4
,LOOP,1997,1997-09-05,248,730.0,Lightning,1997-09-05,248.0,800.0,0.1,A,34.775,-111.725,5.0,USFS,25.0,25,Yavapai,Arizona,Yavapai,4
,PEBBLE,1997,1997-09-11,254,2000.0,Lightning,1997-09-12,255.0,1130.0,0.1,A,34.78666667,-111.75,5.0,USFS,25.0,25,Yavapai,Arizona,Yavapai,4
,YELLOW JACKET,1997,1997-10-21,294,957.0,Smoking,1997-10-21,294.0,1120.0,0.1,A,39.19333333,-120.11333333,5.0,USFS,61.0,61,Placer,California,Placer,6
,STABLE,1997,1997-10-28,301,1205.0,Miscellaneous,1997-10-28,301.0,1422.0,0.1,A,38.96166667,-119.94333333,5.0,USFS,17.0,17,El Dorado,California,El Dorado,6
,FOREST VIEW,1997,1997-10-19,292,1500.0,Lightning,1997-10-19,292.0,1545.0,0.1,A,39.01833333,-120.125,5.0,USFS,17.0,17,El Dorado,California,El Dorado,6
D5GJ,RITCHIE,1997,1997-03-30,89,,Miscellaneous,1997-03-30,89.0,,0.2,A,40.863331,-121.54691899999999,8.0,PRIVATE,Shasta,89,Shasta,California,Shasta,6
D5GJ,REED,1997,1997-03-30,89,,Miscellaneous,1997-03-30,89.0,,0.2,A,40.920689,-121.54678100000001,8.0,PRIVATE,Shasta,89,Shasta,California,Shasta,6
D5GJ,PARK 2,1997,1997-05-01,121,,Miscellaneous,1997-05-01,121.0,,0.1,A,41.072860999999996,-121.62886100000001,8.0,PRIVATE,Shasta,89,Shasta,California,Shasta,6
D5GJ,USFS 17,1997,1997-07-28,209,,Lightning,1997-07-28,209.0,,0.1,A,40.863331,-121.54691899999999,8.0,PRIVATE,Shasta,89,Shasta,California,Shasta,6
D5GJ,CASSEL,1997,1997-08-11,223,1339.0,Equipment Use,1997-08-11,223.0,1939.0,3.0,B,40.906389000000004,-121.54671100000002,8.0,PRIVATE,Shasta,89,Shasta,California,Shasta,6
D5GJ,LIGHTNING 14,1997,1997-08-11,223,1938.0,Lightning,1997-08-11,223.0,1955.0,0.1,A,40.978739000000004,-121.52603899999998,8.0,PRIVATE,Shasta,89,Shasta,California,Shasta,6
D5GJ,LIGHTNING 17,1997,1997-09-03,246,231.0,Lightning,1997-09-03,246.0,1050.0,0.1,A,41.029089,-121.494469,8.0,PRIVATE,Shasta,89,Shasta,California,Shasta,6
D5GJ,RATTLESNAKE,1997,1997-07-28,209,2015.0,Lightning,1997-07-28,209.0,2100.0,0.1,A,41.749031,-121.97343899999998,8.0,PRIVATE,Siskiyou,93,Siskiyou,California,Siskiyou,6
,SECOND,1997,1997-10-21,294,855.0,Arson,1997-10-21,294.0,1930.0,4.0,B,37.83166667,-119.89666667,5.0,USFS,109.0,109,Tuolumne,California,Tuolumne,6
,CABLE,1997,1997-11-24,328,1430.0,Campfire,1997-11-24,328.0,1730.0,0.1,A,38.175,-120.15166667,5.0,USFS,109.0,109,Tuolumne,California,Tuolumne,6
,THIRD,1997,1997-10-21,294,1100.0,Arson,1997-10-21,294.0,1300.0,0.1,A,37.83666667,-120.0,5.0,USFS,109.0,109,Tuolumne,California,Tuolumne,6
,HELLS # 2,1997,1997-10-31,304,1550.0,Arson,1997-10-31,304.0,1555.0,0.1,A,38.05,-119.925,5.0,USFS,109.0,109,Tuolumne,California,Tuolumne,6
