,STATE_CODE,COUNTY_CODE,AVG_FIRE_SIZE,MOST_COMMON_CAUSE,counts
0,4,1,9.954166666666685,Lightning,32
1,4,3,72.3225,Lightning,18
2,4,5,6.621527777777745,Lightning,247
3,4,9,0.9642857142857142,Lightning,9
4,4,11,7.4393939393939394,Lightning,29
5,4,12,17.9,Debris Burning,1
6,4,13,23.889999999999997,Miscellaneous,4
7,4,15,164.25365853658462,Lightning,99
8,4,17,3.894186046511625,Lightning,53
9,4,19,0.5981818181818186,Campfire,36
10,4,21,1.5,Lightning,2
11,4,23,95.70303030303027,Campfire,12
12,4,25,348.1260869565217,Lightning,15
13,4,27,164.02222222222224,Lightning,6
14,5,47,23.0,Miscellaneous,1
15,6,1,0.2,Equipment Use,1
16,6,3,0.55,Lightning,2
17,6,5,2.4044444444444446,Arson,17
18,6,7,218.92771084337326,Arson,21
19,6,9,5.8146666666666675,Arson,24
20,6,11,10.82,Equipment Use,2
21,6,13,1.6,Equipment Use,1
22,6,15,0.1,Campfire,1
23,6,17,1.0637681159420285,Equipment Use,37
24,6,19,87.07142857142854,Equipment Use,4
25,6,23,0.856521739130435,Miscellaneous,9
26,6,25,0.75,Debris Burning,1
27,6,27,13.865217391304357,Miscellaneous,10
28,6,29,6.544221105527623,Powerline,67
29,6,33,1.6625000000000005,Equipment Use,9
30,6,35,120.11834862385336,Lightning,72
31,6,37,3600.0,Miscellaneous,1
32,6,39,2.8714285714285714,Miscellaneous,3
33,6,43,40.02222222222221,Miscellaneous,9
34,6,45,1.0137931034482757,Miscellaneous,10
35,6,47,5.0,Arson,1
36,6,49,125.16451612903225,Lightning,12
37,6,51,0.4800000000000001,Equipment Use,1
38,6,53,0.35,Equipment Use,4
39,6,55,11.79090909090909,Miscellaneous,5
40,6,57,0.5384615384615388,Arson,24
41,6,59,0.5,Arson,2
42,6,61,0.5518518518518524,Miscellaneous,19
43,6,65,2.396153846153854,Miscellaneous,69
44,6,71,2.4917808219178057,Equipment Use,30
45,6,73,50.21770833333337,Missing/Undefined,51
46,6,79,3.3749999999999987,Equipment Use,11
47,6,83,2.7857142857142856,Miscellaneous,7
48,6,85,0.1,Arson,1
49,6,89,30.335616438356176,Lightning,43
50,6,91,0.6807692307692306,Lightning,17
51,6,93,8.045714285714286,Lightning,12
52,6,97,0.4000000000000001,Miscellaneous,2
53,6,103,243.91612903225808,Miscellaneous,8
54,6,105,87.99999999999999,Arson,9
55,6,107,6.603999999999998,Arson,16
56,6,109,10.662650602409641,Arson,21
57,6,113,410.70000000000005,Miscellaneous,4
58,6,115,13.927272727272726,Equipment Use,4
59,8,3,0.1,Lightning,1
60,8,13,0.2923076923076924,Campfire,6
61,8,15,0.1,Campfire,1
62,8,19,0.1,Campfire,2
63,8,21,3.05,Railroad,1
64,8,29,57.31111111111112,Lightning,8
65,8,37,0.8533333333333333,Lightning,12
66,8,41,0.2,Miscellaneous,1
67,8,43,1.8444444444444446,Lightning,4
68,8,45,5.509090909090908,Lightning,49
69,8,47,0.1,Lightning,1
70,8,49,87.26,Miscellaneous,2
71,8,51,2.375,Lightning,2
72,8,53,5.0,Debris Burning,1
73,8,57,0.1,Smoking,1
74,8,65,0.1,Lightning,1
75,8,67,0.1,Lightning,2
76,8,69,0.661111111111111,Lightning,10
77,8,77,92.41413043478269,Lightning,76
78,8,79,0.1,Lightning,1
79,8,81,29.636363636363605,Lightning,87
80,8,83,0.1,Lightning,1
81,8,85,51.17884615384615,Lightning,46
82,8,91,0.1,Campfire,3
83,8,93,0.1,Lightning,1
84,8,97,0.2,Debris Burning,1
85,8,101,0.15000000000000002,Powerline,1
86,8,103,32.24891304347819,Lightning,77
87,8,105,0.1,Lightning,1
88,8,107,0.1,Lightning,2
89,8,109,1.4999999999999998,Lightning,4
90,8,111,6.090000000000001,Lightning,9
91,8,113,1.4666666666666666,Lightning,4
92,8,117,0.1,Missing/Undefined,1
93,8,123,166.5,Arson,1
94,9,1,0.8666666666666667,Miscellaneous,3
95,9,3,10.174999999999997,Miscellaneous,20
96,9,5,2.1678571428571423,Miscellaneous,43
97,9,7,5.204545454545454,Lightning,4
98,9,9,7.7833333333333385,Arson,43
99,9,11,4.517647058823529,Children,5
100,9,13,5.274482758620689,Arson,17
101,9,15,5.25,Children,7
102,12,1,9.967058823529415,Railroad,42
103,12,3,3.129577464788732,Equipment Use,29
104,12,5,5.474157303370789,Railroad,23
105,12,7,8.765079365079368,Railroad,23
106,12,9,33.805405405405395,Lightning,33
107,12,11,1748.6714285714286,Lightning,6
108,12,13,15.403703703703705,Equipment Use,11
109,12,15,11.790449438202238,Lightning,59
