,STATE_CODE,COUNTY_CODE,AVG_FIRE_SIZE,MOST_COMMON_CAUSE,counts
0,4,1,10.084033613445385,Lightning,102
1,4,3,20.03,Lightning,18
2,4,5,8.434703196347025,Lightning,520
3,4,7,1.5,Children,1
4,4,9,18.434615384615388,Lightning,19
5,4,11,23.715294117647062,Lightning,82
6,4,12,0.1,Debris Burning,1
7,4,13,0.7333333333333334,Equipment Use,2
8,4,15,19.9345454545454,Lightning,144
9,4,17,0.8325203252032517,Lightning,79
10,4,19,20.214925373134335,Lightning,40
11,4,21,41.0,Miscellaneous,1
12,4,23,14.400000000000006,Campfire,10
13,4,25,2.2387755102040816,Equipment Use,24
14,4,27,7.807692307692305,Debris Burning,5
15,5,5,3.35,Arson,3
16,5,33,11.85,Debris Burning,2
17,5,83,16.22,Debris Burning,1
18,5,87,3.6,Arson,1
19,5,101,0.5,Debris Burning,1
20,5,113,7.95,Debris Burning,3
21,5,127,22.0,Arson,2
22,5,137,14.0,Miscellaneous,2
23,5,141,0.1,Smoking,1
24,5,149,40.0,Arson,1
25,6,3,0.10000000000000002,Lightning,2
26,6,5,5.692592592592592,Arson,10
27,6,7,38.28999999999999,Equipment Use,18
28,6,9,3.9377358490566015,Arson,17
29,6,11,0.20000000000000004,Equipment Use,2
30,6,17,1.4105691056910552,Miscellaneous,30
31,6,19,8.326315789473684,Miscellaneous,12
32,6,23,1.7045454545454553,Miscellaneous,7
33,6,25,87.4,Miscellaneous,1
34,6,27,0.1368421052631579,Miscellaneous,9
35,6,29,63.282113821138296,Powerline,36
36,6,33,186.25,Equipment Use,8
37,6,35,51.929545454545426,Lightning,19
38,6,37,1.275,Miscellaneous,3
39,6,39,1.4666666666666666,Equipment Use,3
40,6,43,409.1307692307692,Equipment Use,9
41,6,45,1.1500000000000004,Arson,10
42,6,49,7.479999999999999,Equipment Use,4
43,6,51,143.6333333333333,Lightning,13
44,6,53,0.8999999999999999,Miscellaneous,3
45,6,55,12.65,Equipment Use,5
46,6,57,1.0539682539682542,Equipment Use,17
47,6,61,9.397560975609757,Equipment Use,16
48,6,63,1.0,Smoking,1
49,6,65,1.1301075268817171,Miscellaneous,68
50,6,71,4.840816326530612,Miscellaneous,18
51,6,73,31.35373134328356,Miscellaneous,22
52,6,79,1.1266666666666671,Miscellaneous,7
53,6,81,0.10000000000000002,Powerline,2
54,6,83,15.05,Miscellaneous,4
55,6,85,1.0,Campfire,1
56,6,89,0.47500000000000026,Arson,16
57,6,91,2.2875000000000005,Lightning,5
58,6,93,3.2227272727272718,Railroad,11
59,6,95,0.2,Arson,1
60,6,97,0.47500000000000003,Arson,3
61,6,99,6.0,Arson,1
62,6,103,638.0076923076923,Equipment Use,5
63,6,105,1.3888888888888895,Miscellaneous,6
64,6,107,4.04,Equipment Use,3
65,6,109,1.7137499999999992,Miscellaneous,27
66,6,113,102.0,Equipment Use,1
67,6,115,1.5999999999999999,Equipment Use,2
68,8,7,2.9571428571428577,Lightning,7
69,8,13,68.25,Lightning,10
70,8,15,0.18333333333333332,Lightning,6
71,8,19,0.09999999999999999,Miscellaneous,3
72,8,21,0.26000000000000006,Lightning,4
73,8,27,0.3166666666666667,Lightning,6
74,8,29,1.551851851851852,Lightning,26
75,8,31,0.3,Lightning,1
76,8,33,2.6,Lightning,4
77,8,37,4.497619047619044,Lightning,30
78,8,43,4.825,Lightning,13
79,8,45,4.053750000000006,Lightning,70
80,8,47,0.1,Campfire,2
81,8,49,1.7999999999999996,Lightning,5
82,8,51,2.6400000000000006,Lightning,10
83,8,53,0.4000000000000001,Campfire,2
84,8,55,0.55,Lightning,2
85,8,57,1.0799999999999998,Lightning,4
86,8,59,0.1,Miscellaneous,1
87,8,61,6600.0,Powerline,1
88,8,65,0.1,Lightning,1
89,8,67,11.139999999999997,Lightning,8
90,8,69,303.0000000000002,Lightning,28
91,8,77,50.12923076923093,Lightning,114
92,8,79,0.2333333333333333,Lightning,3
93,8,81,218.74774774774755,Lightning,104
94,8,83,35.00303030303024,Lightning,30
95,8,85,0.3798245614035096,Lightning,111
96,8,91,0.9714285714285712,Lightning,7
97,8,93,1.0,Lightning,2
98,8,97,3.2,Lightning,4
99,8,103,45.02337662337675,Lightning,221
100,8,105,3.650000000000001,Lightning,8
101,8,107,11.493548387096777,Lightning,23
102,8,109,1.0214285714285711,Lightning,11
103,8,111,0.68,Lightning,4
104,8,113,229.58571428571426,Lightning,13
105,8,117,0.1,Missing/Undefined,1
106,8,119,1.7333333333333332,Lightning,3
107,9,1,1.525,Debris Burning,3
108,9,3,2.3894736842105266,Miscellaneous,10
109,9,5,0.4375,Miscellaneous,23
110,9,7,13.333333333333334,Debris Burning,2
111,9,9,6.486904761904761,Arson,19
112,9,11,6.220000000000001,Debris Burning,3
113,9,13,4.611111111111111,Arson,3
114,9,15,9.5625,Miscellaneous,2
115,12,1,64.50787401574806,Railroad,50
116,12,3,3.5362068965517244,Equipment Use,62
117,12,5,24.410638297872318,Lightning,36
118,12,7,2.5714285714285703,Railroad,26
119,12,9,43.478494623655905,Lightning,38
120,12,11,277.0416666666667,Lightning,15
121,12,13,13.942307692307692,Lightning,12
122,12,15,15.389999999999993,Lightning,32
123,12,17,8.616363636363635,Equipment Use,91
124,12,19,5.156730769230772,Railroad,40
125,12,21,15.057142857142855,Railroad,55
126,12,23,20.873722627737212,Railroad,61
127,12,27,38.060526315789474,Lightning,11
128,12,29,9.467857142857147,Equipment Use,39
129,12,31,5.657142857142858,Equipment Use,37
130,12,33,15.637974683544298,Railroad,51
131,12,35,5.4403508771929925,Lightning,62
132,12,37,33.33243243243242,Equipment Use,10
133,12,39,6.34705882352941,Railroad,17
134,12,41,6.141463414634146,Railroad,29
135,12,43,120.84385964912282,Lightning,28
136,12,45,51.260465116279065,Lightning,19
137,12,47,14.558823529411766,Railroad,26
138,12,49,10.143478260869566,Railroad,29
139,12,51,35.84776119402985,Railroad,40
140,12,53,13.803797468354427,Equipment Use,33
141,12,55,32.52307692307692,Railroad,48
142,12,57,32.3609756097561,Lightning,23
143,12,59,4.7328947368421055,Railroad,33
144,12,61,8.689130434782607,Lightning,24
145,12,63,3.4663865546218493,Railroad,41
146,12,65,3.5717948717948715,Railroad,21
147,12,67,91.76875000000007,Lightning,24
148,12,69,39.26145251396648,Railroad,57
149,12,71,18.313855421686743,Lightning,60
150,12,73,5.691999999999999,Railroad,14
151,12,75,6.492024539877303,Railroad,61
152,12,77,14.522222222222224,Lightning,13
153,12,79,12.97142857142857,Lightning,14
154,12,81,22.527777777777775,Lightning,21
155,12,83,7.024043715846994,Railroad,85
156,12,85,63.78125,Lightning,27
157,12,86,102.45966386554623,Equipment Use,65
158,12,87,0.25,Miscellaneous,2
159,12,89,25.453999999999997,Lightning,16
160,12,91,5.798019801980198,Railroad,47
161,12,93,26.531896551724127,Lightning,38
162,12,95,62.26249999999999,Lightning,39
163,12,97,89.84545454545456,Lightning,37
164,12,99,250.69756097560978,Lightning,27
165,12,101,13.924999999999999,Equipment Use,39
166,12,103,14.06,Equipment Use,6
167,12,105,57.06621160409559,Railroad,107
168,12,107,9.677777777777777,Equipment Use,37
169,12,109,15.934408602150528,Lightning,34
170,12,111,17.266666666666666,Lightning,8
171,12,113,9.734509803921556,Equipment Use,105
172,12,115,66.89904761904766,Lightning,36
173,12,117,2.8000000000000003,Railroad,15
174,12,119,38.50217391304348,Lightning,19
175,12,121,3.7760330578512424,Railroad,66
176,12,123,5.868421052631582,Lightning,32
177,12,125,16.830000000000005,Railroad,18
178,12,127,7.72582417582418,Lightning,85
179,12,129,22.9375,Railroad,11
180,12,131,4.22789115646259,Railroad,56
181,12,133,7.453658536585368,Railroad,34
182,13,1,2.992400000000001,Debris Burning,63
183,13,3,2.6649295774647883,Debris Burning,52
184,13,5,5.164444444444444,Debris Burning,36
185,13,7,4.824339622641509,Debris Burning,40
186,13,9,2.969374999999999,Debris Burning,35
187,13,11,1.3925000000000005,Debris Burning,15
188,13,13,1.5616666666666665,Debris Burning,5
189,13,15,4.248189655172413,Arson,49
190,13,17,3.090000000000001,Debris Burning,50
191,13,19,3.793208955223881,Debris Burning,119
192,13,21,2.168055555555555,Debris Burning,18
193,13,23,2.446,Debris Burning,41
194,13,25,3.787313432835819,Debris Burning,54
195,13,27,6.931937172774868,Debris Burning,151
196,13,29,20.899811320754726,Debris Burning,22
197,13,31,4.7506249999999985,Debris Burning,50
198,13,33,19.711636363636362,Debris Burning,57
199,13,35,1.592962962962963,Debris Burning,12
200,13,37,2.4164705882352933,Debris Burning,27
201,13,39,3.0249572649572634,Lightning,43
202,13,43,3.7368749999999995,Debris Burning,41
203,13,45,3.3709836065573766,Debris Burning,29
204,13,47,1.2029268292682924,Debris Burning,29
205,13,49,4.798875000000001,Debris Burning,49
206,13,51,5.740408163265309,Debris Burning,24
207,13,53,3.758125,Debris Burning,9
208,13,55,5.458152173913042,Arson,47
209,13,57,1.3465934065934069,Debris Burning,39
210,13,59,3.2100000000000004,Miscellaneous,3
211,13,61,8.75923076923077,Debris Burning,16
212,13,63,3.4599999999999995,Children,9
213,13,65,68.9213333333334,Lightning,35
214,13,69,5.7505063291139225,Debris Burning,51
215,13,71,2.9044186046511613,Debris Burning,56
216,13,73,1.687878787878788,Debris Burning,16
217,13,75,1.7777310924369751,Debris Burning,97
218,13,77,7.358378378378375,Debris Burning,39
219,13,79,2.1971428571428575,Debris Burning,47
220,13,81,3.5207792207792226,Debris Burning,55
221,13,83,1.555208333333333,Debris Burning,31
222,13,85,4.570000000000001,Debris Burning,13
223,13,87,4.565928571428572,Debris Burning,107
224,13,89,6.32625,Miscellaneous,2
225,13,91,2.8899999999999997,Debris Burning,103
226,13,93,2.5104651162790703,Debris Burning,18
227,13,95,5.061428571428571,Railroad,35
228,13,97,35.0,Miscellaneous,1
229,13,99,3.287177419354839,Debris Burning,73
230,13,101,5.146200000000001,Lightning,15
231,13,103,6.591619047619048,Debris Burning,55
232,13,105,2.0947058823529408,Debris Burning,27
233,13,107,4.06123595505618,Debris Burning,53
234,13,109,2.5249999999999986,Debris Burning,21
235,13,111,1.165161290322581,Debris Burning,40
236,13,113,8.07,Children,2
237,13,115,9.715000000000002,Debris Burning,46
238,13,117,1.1776470588235295,Debris Burning,12
239,13,119,1.1684,Debris Burning,20
240,13,123,48.8538888888889,Debris Burning,23
241,13,125,1.3036363636363635,Debris Burning,6
242,13,127,7.319876543209879,Debris Burning,27
243,13,129,4.992096774193548,Debris Burning,36
244,13,131,2.4567346938775514,Debris Burning,116
245,13,133,2.7369767441860473,Debris Burning,21
246,13,135,4.811304347826087,Debris Burning,9
247,13,137,1.1893181818181817,Debris Burning,19
248,13,139,1.2891379310344826,Debris Burning,33
249,13,141,6.317083333333335,Debris Burning,24
250,13,143,4.8536708860759505,Arson,36
251,13,145,4.634651162790697,Debris Burning,27
252,13,147,2.2344444444444442,Debris Burning,29
253,13,149,8.171290322580646,Debris Burning,14
254,13,151,3.814444444444445,Debris Burning,21
