,STATE_CODE,COUNTY_CODE,AVG_FIRE_SIZE,MOST_COMMON_CAUSE,counts
0,4,1,0.36091954022988587,Lightning,79
1,4,3,289.97173913043486,Campfire,24
2,4,5,18.024745762711827,Lightning,215
3,4,7,0.15000000000000002,Children,1
4,4,9,2.5263157894736845,Lightning,15
5,4,11,18.04,Lightning,52
6,4,12,1.4249999999999998,Miscellaneous,3
7,4,13,12.075000000000001,Equipment Use,8
8,4,15,46.31126760563375,Lightning,49
9,4,17,0.5407407407407405,Lightning,12
10,4,19,863.3928571428564,Campfire,15
11,4,21,400.1166666666666,Arson,2
12,4,23,1704.8181818181818,Campfire,18
13,4,25,2.2121951219512175,Equipment Use,11
14,4,27,1.8533333333333333,Miscellaneous,13
15,5,47,10.0,Lightning,1
16,5,77,0.5,Arson,1
17,5,115,0.1,Arson,1
18,6,1,0.15000000000000002,Miscellaneous,1
19,6,3,301.5,Lightning,2
20,6,5,2.166666666666666,Miscellaneous,12
21,6,7,8.719178082191782,Equipment Use,28
22,6,9,1.5021739130434784,Miscellaneous,17
23,6,11,30.2,Lightning,1
24,6,13,0.3,Equipment Use,1
25,6,15,0.1,Campfire,1
26,6,17,10.9912621359223,Miscellaneous,28
27,6,19,36.615151515151524,Equipment Use,14
28,6,21,2.0,Equipment Use,1
29,6,23,0.8,Miscellaneous,5
30,6,25,0.3375000000000001,Campfire,2
31,6,27,48.75925925925926,Miscellaneous,14
32,6,29,2.0730769230769237,Arson,9
33,6,33,5.023076923076922,Miscellaneous,13
34,6,35,110.76833333333347,Lightning,31
35,6,37,623.3142857142857,Miscellaneous,18
36,6,39,0.2416666666666667,Equipment Use,3
37,6,43,2.033333333333333,Miscellaneous,7
38,6,45,90.57368421052632,Equipment Use,9
39,6,49,26.758333333333336,Equipment Use,6
40,6,51,640.5928571428573,Lightning,10
41,6,53,158.2125,Equipment Use,3
42,6,55,45.88333333333334,Miscellaneous,6
43,6,57,1.1328767123287657,Equipment Use,23
44,6,59,947.0,Missing/Undefined,3
45,6,61,18.654285714285713,Equipment Use,9
46,6,63,3.55,Campfire,2
47,6,65,3.345959595959594,Equipment Use,68
48,6,67,360.5,Missing/Undefined,1
49,6,69,30.05,Equipment Use,2
50,6,71,125.84545454545454,Arson,6
51,6,73,821.3607594936709,Miscellaneous,27
52,6,79,251.69285714285712,Miscellaneous,6
53,6,83,1558.44,Miscellaneous,4
54,6,85,631.4399999999999,Miscellaneous,3
55,6,89,12.293333333333331,Miscellaneous,14
56,6,91,0.15555555555555556,Lightning,5
57,6,93,2.284,Lightning,11
58,6,95,64.0,Miscellaneous,2
59,6,97,0.1,Powerline,1
60,6,99,1.0,Equipment Use,1
61,6,103,5.195999999999999,Miscellaneous,11
62,6,105,0.2666666666666667,Smoking,5
63,6,107,47.725,Arson,9
64,6,109,0.4622950819672136,Miscellaneous,22
65,6,113,346.55,Equipment Use,1
66,6,115,26.713333333333328,Equipment Use,6
67,8,3,1.4333333333333333,Lightning,3
68,8,7,0.1,Lightning,1
69,8,9,36.0,Lightning,1
70,8,11,0.1,Lightning,1
71,8,13,19.852,Lightning,11
72,8,15,0.4,Arson,5
73,8,17,15000.0,Lightning,1
74,8,19,21.18,Miscellaneous,5
75,8,21,0.35000000000000003,Lightning,6
76,8,27,0.3,Lightning,2
77,8,29,0.19333333333333336,Lightning,13
78,8,35,0.1,Lightning,1
79,8,37,1.7121212121212126,Lightning,24
80,8,41,4489.25,Missing/Undefined,2
81,8,43,148.90333333333348,Lightning,29
82,8,45,422.12708333333234,Lightning,39
83,8,47,0.1,Lightning,1
84,8,49,5.322222222222223,Lightning,9
85,8,51,74.18333333333332,Lightning,17
86,8,53,1.6599999999999997,Lightning,3
87,8,55,67.0,Lightning,1
88,8,57,0.1,Lightning,4
89,8,59,84.0,Missing/Undefined,1
90,8,65,4.0,Miscellaneous,1
91,8,67,340.0,Lightning,1
92,8,69,141.88611111111126,Lightning,27
93,8,71,11022.625,Lightning,4
94,8,73,10000.0,Lightning,1
95,8,77,57.3777777777778,Lightning,56
96,8,79,1.8999999999999997,Lightning,5
97,8,81,12.941772151898737,Lightning,78
98,8,83,0.17727272727272728,Lightning,22
99,8,85,51.81232876712326,Lightning,65
100,8,91,0.26666666666666666,Lightning,2
101,8,93,95.43333333333334,Lightning,3
102,8,97,30.0,Missing/Undefined,1
103,8,101,0.1,Lightning,1
104,8,103,87.1151898734178,Lightning,71
105,8,105,845.7636363636367,Lightning,7
106,8,107,1551.8391304347826,Lightning,19
107,8,109,14.24074074074074,Lightning,27
108,8,113,1345.0260869565216,Lightning,23
109,8,119,0.10000000000000002,Lightning,3
110,8,123,88.05,Miscellaneous,4
111,9,1,2.09,Arson,3
112,9,3,3.819230769230769,Arson,8
113,9,5,0.786842105263158,Arson,20
114,9,7,3.033333333333333,Miscellaneous,2
115,9,9,2.5,Arson,11
116,9,11,0.5033333333333333,Debris Burning,1
117,9,13,4.25,Debris Burning,3
118,9,15,1.0113636363636365,Arson,14
119,12,1,5.4,Railroad,29
120,12,3,15.66363636363637,Equipment Use,16
121,12,5,20.139583333333334,Railroad,19
122,12,7,31.683333333333337,Railroad,7
123,12,9,22.237499999999997,Equipment Use,17
124,12,11,833.4923076923077,Children,4
125,12,13,9.649999999999999,Railroad,11
126,12,15,10.508955223880601,Equipment Use,16
127,12,17,9.839062500000002,Railroad,33
128,12,19,10.62857142857143,Railroad,21
129,12,21,28.257142857142842,Lightning,31
130,12,23,10.895061728395065,Railroad,35
131,12,27,4.50625,Railroad,10
132,12,29,5.324324324324325,Lightning,17
133,12,31,4.4512820512820515,Lightning,10
134,12,33,1.5830769230769226,Railroad,33
135,12,35,2.284848484848485,Lightning,19
136,12,37,62.73333333333334,Railroad,7
137,12,39,3.335714285714286,Railroad,20
138,12,41,4.080952380952381,Railroad,23
139,12,43,26.164705882352948,Lightning,7
140,12,45,8.586666666666666,Railroad,8
141,12,47,6.771794871794871,Railroad,15
142,12,49,8.149999999999999,Railroad,21
143,12,51,7.886842105263159,Railroad,20
144,12,53,16.985714285714284,Railroad,14
145,12,55,9.11451612903226,Railroad,28
146,12,57,7.736842105263157,Lightning,6
147,12,59,4.468749999999999,Railroad,27
148,12,61,16.099999999999998,Railroad,6
149,12,63,6.056716417910448,Railroad,35
150,12,65,2.5999999999999996,Railroad,26
151,12,67,4.942857142857143,Lightning,7
152,12,69,10.873437500000001,Railroad,23
153,12,71,9.479687499999999,Railroad,23
154,12,73,6.643478260869564,Railroad,14
155,12,75,17.632520325203238,Railroad,47
156,12,77,1.775,Debris Burning,3
157,12,79,13.924000000000001,Railroad,11
158,12,81,27.02962962962963,Lightning,7
159,12,83,9.949624060150377,Railroad,60
160,12,85,21.037499999999998,Lightning,12
161,12,86,38.95656565656565,Equipment Use,61
162,12,87,0.14800000000000005,Miscellaneous,14
163,12,89,7.224999999999999,Railroad,10
164,12,91,10.448780487804882,Railroad,16
165,12,93,155.13500000000002,Railroad,17
166,12,95,14.866666666666667,Railroad,14
167,12,97,61.99285714285714,Lightning,9
168,12,99,17.15833333333334,Railroad,10
169,12,101,12.95116279069768,Railroad,18
170,12,103,7.0,Arson,2
171,12,105,16.776799999999994,Railroad,52
172,12,107,6.313186813186816,Lightning,29
173,12,109,4.157142857142857,Equipment Use,12
174,12,111,19.724999999999998,Railroad,11
175,12,113,12.787142857142863,Railroad,58
176,12,115,14.447169811320757,Lightning,28
177,12,117,2.3333333333333335,Railroad,4
178,12,119,10.308333333333334,Lightning,9
179,12,121,5.676666666666666,Railroad,33
180,12,123,19.82916666666667,Railroad,7
181,12,125,5.642857142857143,Equipment Use,13
182,12,127,1.8936507936507936,Lightning,25
183,12,129,2.6571428571428575,Railroad,5
184,12,131,9.43692307692308,Railroad,31
185,12,133,2.2913043478260873,Railroad,11
186,13,1,5.715606060606062,Debris Burning,42
187,13,3,2.1804999999999994,Debris Burning,68
188,13,5,3.1067948717948712,Debris Burning,46
189,13,7,5.965681818181817,Debris Burning,36
190,13,9,2.7360975609756104,Debris Burning,29
191,13,11,2.5663636363636355,Debris Burning,9
192,13,13,1.7600000000000002,Debris Burning,4
193,13,15,9.829846153846155,Arson,31
194,13,17,4.330188679245283,Debris Burning,40
195,13,19,6.393508771929823,Debris Burning,98
196,13,21,4.202,Arson,2
197,13,23,5.379772727272727,Debris Burning,37
198,13,25,2.4439189189189188,Debris Burning,33
199,13,27,6.735128205128204,Debris Burning,57
200,13,29,14.762093023255817,Debris Burning,27
201,13,31,7.843916666666669,Debris Burning,83
202,13,33,11.727222222222226,Debris Burning,43
203,13,35,3.9871428571428575,Debris Burning,8
204,13,37,2.9909999999999997,Debris Burning,17
205,13,39,0.8410294117647057,Arson,32
206,13,43,3.370987654320987,Debris Burning,61
207,13,45,1.342234042553191,Debris Burning,45
208,13,47,1.4722222222222225,Debris Burning,42
209,13,49,9.131470588235295,Debris Burning,12
210,13,51,6.846500000000001,Debris Burning,13
211,13,53,8.173333333333334,Debris Burning,6
212,13,55,4.990588235294116,Arson,41
213,13,57,3.26595238095238,Debris Burning,25
214,13,59,6.6433333333333335,Arson,2
215,13,61,4.505714285714285,Debris Burning,5
216,13,63,2.456666666666667,Children,2
217,13,65,7.254411764705882,Lightning,18
218,13,69,6.552553191489363,Debris Burning,69
219,13,71,8.051607142857144,Debris Burning,37
220,13,73,7.540869565217393,Debris Burning,10
221,13,75,5.79032258064516,Debris Burning,83
222,13,77,2.7249999999999988,Debris Burning,40
223,13,79,2.371111111111111,Debris Burning,28
224,13,81,2.4359090909090915,Debris Burning,33
225,13,83,2.1159375,Debris Burning,28
226,13,85,2.11,Debris Burning,5
227,13,87,5.620105263157894,Debris Burning,65
228,13,89,7.55,Debris Burning,1
229,13,91,4.2088957055214715,Debris Burning,115
230,13,93,5.177333333333333,Debris Burning,10
231,13,95,8.434827586206897,Debris Burning,15
232,13,97,6.331,Debris Burning,8
233,13,99,4.682909090909092,Debris Burning,34
234,13,101,1.9246153846153846,Arson,18
235,13,103,5.951315789473683,Debris Burning,60
236,13,105,1.1898039215686274,Debris Burning,33
237,13,107,6.176168224299069,Debris Burning,70
238,13,109,5.8,Debris Burning,32
239,13,111,3.4032692307692325,Debris Burning,25
240,13,113,4.750000000000001,Debris Burning,3
241,13,115,6.050909090909091,Debris Burning,29
242,13,117,3.7271428571428578,Arson,3
243,13,119,3.4824999999999995,Debris Burning,15
244,13,121,7.5,Debris Burning,1
245,13,123,4.738333333333333,Debris Burning,15
246,13,125,7.289166666666667,Debris Burning,6
247,13,127,9.137058823529411,Debris Burning,6
248,13,129,2.4715151515151517,Debris Burning,21
249,13,131,2.8367123287671245,Debris Burning,60
250,13,133,5.924186046511629,Debris Burning,23
251,13,135,4.992,Debris Burning,4
252,13,137,2.5628571428571427,Debris Burning,21
253,13,139,2.2657142857142856,Debris Burning,19
254,13,141,6.007083333333334,Debris Burning,37
255,13,143,3.262162162162161,Debris Burning,17
256,13,145,2.850727272727272,Debris Burning,35
257,13,147,1.870666666666667,Debris Burning,12
258,13,149,15.235000000000003,Debris Burning,10
259,13,151,4.150526315789474,Debris Burning,10
260,13,153,6.3522500000000015,Debris Burning,22
261,13,155,3.7711627906976735,Debris Burning,32
262,13,157,3.0399999999999996,Debris Burning,7
263,13,159,5.015740740740739,Debris Burning,38
264,13,161,7.860476190476187,Debris Burning,29
265,13,163,6.183148148148148,Debris Burning,19
266,13,165,3.21,Debris Burning,40
267,13,167,6.456417910447761,Debris Burning,39
268,13,169,2.5697260273972597,Debris Burning,40
269,13,171,1.39875,Debris Burning,5
270,13,173,4.1319298245614045,Debris Burning,40
271,13,175,2.62884792626728,Debris Burning,138
272,13,177,2.3994230769230773,Debris Burning,43
273,13,179,1.1735135135135133,Debris Burning,43
274,13,181,7.506,Debris Burning,3
275,13,183,8.576603773584907,Debris Burning,25
276,13,185,3.354693877551019,Debris Burning,66
277,13,187,7.40931818181818,Debris Burning,23
278,13,189,1.6068749999999998,Debris Burning,27
279,13,191,2.5547692307692307,Arson,34
280,13,193,3.358421052631579,Debris Burning,13
281,13,195,1.6045901639344256,Debris Burning,43
282,13,197,4.981071428571428,Debris Burning,17
283,13,199,3.9442857142857144,Debris Burning,29
284,13,201,15.737272727272723,Debris Burning,41
285,13,205,2.4084251968503936,Debris Burning,99
286,13,207,1.9178571428571425,Debris Burning,24
287,13,209,6.432790697674421,Debris Burning,35
288,13,211,6.507692307692308,Debris Burning,7
289,13,213,6.3082,Debris Burning,32
290,13,215,11.843333333333332,Debris Burning,2
291,13,217,2.186190476190475,Debris Burning,22
292,13,219,1.4100000000000001,Debris Burning,16
293,13,221,20.285312499999996,Debris Burning,16
294,13,223,2.7601923076923054,Debris Burning,47
295,13,225,6.65,Debris Burning,6
296,13,227,6.278888888888888,Debris Burning,19
297,13,229,2.4538805970149262,Debris Burning,36
298,13,231,4.628181818181817,Debris Burning,18
299,13,233,7.056693548387095,Arson,88
300,13,235,4.210188679245282,Debris Burning,48
301,13,237,3.9597872340425546,Debris Burning,27
302,13,239,0.893,Debris Burning,3
303,13,241,18.19090909090909,Arson,8
304,13,243,3.102727272727273,Debris Burning,19
